Class,Mean_Hue,Mean_Saturation,Mean_Value
BUSUK,21.94127018969445,75.04287609160488,28.990292803651005
BUSUK,18.58964820722008,74.12126821631263,27.2737018145121
BUSUK,13.903033262724566,65.7690220581623,20.59701107591775
BUSUK,11.957455511480585,68.21506396005276,24.088263873623628
BUSUK,15.996471018764613,56.460726423083074,19.762555797995642
BUSUK,21.673673525209328,68.26945888746228,29.17040932685198
BUSUK,17.022469387602165,71.30793577391539,22.474967089486622
BUSUK,18.471977665814034,69.32968715653165,25.65968468355948
BUSUK,21.70542514513099,76.1277032520833,31.091666239933254
BUSUK,21.89750045587618,72.50053784022101,27.363245263883616
BUSUK,12.407686009971822,65.97608617183909,21.619308260976
BUSUK,11.91187398208469,63.13684918991427,20.17531920700026
BUSUK,14.01674533132831,64.97736028331768,21.614222119112327
BUSUK,12.644577384045084,59.48376331408245,19.103471247327192
BUSUK,11.71570406017066,65.10375679442856,21.344088160208628
BUSUK,12.677579697148339,61.07330816855179,20.520947354419377
BUSUK,11.360161386413141,55.44378063113247,19.002879357676704
BUSUK,10.033126586199316,54.5659493590256,17.793571302781718
BUSUK,12.907675705921145,59.45625836813813,19.44331741721788
BUSUK,14.86195959937851,62.39459799214644,21.103868265522273
BUSUK,13.320199311564517,63.49227773850443,21.18603526358386
BUSUK,10.903069170779961,60.85538795687536,19.276773358346155
BUSUK,11.160998137777023,63.265180208479045,20.695551834995303
BUSUK,11.97403894431566,57.89528851966388,19.26913196803621
BUSUK,13.177648703063488,54.07231226644152,18.742819169530986
BUSUK,11.34215583846246,64.65632946608781,19.569357657970464
BUSUK,14.78396527347575,57.668341959593135,20.44213338812174
BUSUK,14.549169368617733,56.00934062194001,20.316833165554247
BUSUK,13.363666480985591,53.711311880507985,18.60566554175576
BUSUK,11.844236944455547,53.101721900541555,17.596708199276595
BUSUK,11.531313073279911,51.24020959063568,15.910253279810556
BUSUK,11.203415699126715,47.94806040296957,17.158722191552926
BUSUK,14.713777983303691,51.97265820152475,20.008427932845066
BUSUK,13.669497106122979,53.81844606172938,19.01892448192482
BUSUK,15.438948499730222,55.42285934908375,21.315788553386223
BUSUK,13.304757442647029,54.13336236161348,19.246203425690933
MATANG,22.7157146764653,86.00838968295997,60.884623671089706
MATANG,26.455529590735598,72.61850392053516,59.3683796474391
MATANG,19.58744704342439,86.20109244794268,58.34559348833956
MATANG,17.019623283907197,77.97763927329589,50.77622974161188
